name num_pos num_neg frac_num_neg total weight_pos weight_neg frac_weighted_num_neg total_weight
abspa 17 13.00 0.43333333333333335 30 8.43 4.05 0.32 12.48
dsrgn 7 1.00 0.125 8 2.67 1.00 0.27 3.67
EMT_RACIPE 3111 1.00 0.00032133676092544985 3112 375.13 1.00 0.00 376.13
EMT_RACIPE2 10869 1500.00 0.1212709192335678 12369 1129.66 130.82 0.10 1260.48
GRHL2 3 0.00 0.0 3 2.00 0.00 0.00 2.00
GRHL2wa 4 0.00 0.0 4 3.00 0.00 0.00 3.00
Jia_1 7 2.00 0.2222222222222222 9 3.33 2.00 0.38 5.33
Jia_2 6 2.00 0.25 8 3.08 2.00 0.39 5.08
Jia_CBS 11 1.00 0.08333333333333333 12 3.70 1.00 0.21 4.70
Nfatc 4 0.00 0.0 4 3.00 0.00 0.00 3.00
NRF2 8 3.00 0.2727272727272727 11 3.53 1.45 0.29 4.98
OCT4 4 1.00 0.2 5 2.50 0.25 0.09 2.75
OVOL2 3 2.00 0.4 5 2.00 1.33 0.40 3.33
OVOLsi 3 1.00 0.25 4 2.00 0.33 0.14 2.33
randnet1 1 1.00 0.5 2 1.00 1.00 0.50 2.00
randomnet4_1 1 2.00 0.6666666666666666 3 0.50 1.50 0.75 2.00
randomnet4_10 1 0.00 0.0 1 1.00 0.00 0.00 1.00
randomnet4_100 1 3.00 0.75 4 1.00 2.00 0.67 3.00
randomnet4_11 0 3.00 1.0 3 0.00 1.83 1.00 1.83
randomnet4_12 1 3.00 0.75 4 1.00 1.83 0.65 2.83
randomnet4_13 2 1.00 0.3333333333333333 3 1.50 0.33 0.18 1.83
randomnet4_14 2 0.00 0.0 2 2.00 0.00 0.00 2.00
randomnet4_15 0 1.00 1.0 1 0.00 1.00 1.00 1.00
randomnet4_16 2 1.00 0.3333333333333333 3 1.50 0.50 0.25 2.00
randomnet4_17 1 1.00 0.5 2 0.33 0.50 0.50 0.83
randomnet4_18 2 5.00 0.7142857142857143 7 1.50 1.92 0.56 3.42
randomnet4_19 2 3.00 0.6 5 1.33 2.50 0.65 3.83
randomnet4_2 2 0.00 0.0 2 2.00 0.00 0.00 2.00
randomnet4_20 2 0.00 0.0 2 2.00 0.00 0.00 2.00
randomnet4_21 4 0.00 0.0 4 2.33 0.00 0.00 2.33
randomnet4_22 0 3.00 1.0 3 0.00 2.50 1.00 2.50
randomnet4_23 0 1.00 1.0 1 0.00 0.50 0.50 0.50
randomnet4_24 2 1.00 0.3333333333333333 3 0.83 0.50 0.38 1.33
randomnet4_25 1 1.00 0.5 2 0.33 0.50 0.50 0.83
randomnet4_26 1 3.00 0.75 4 0.50 2.50 0.83 3.00
randomnet4_27 2 0.00 0.0 2 0.83 0.00 0.00 0.83
randomnet4_28 2 0.00 0.0 2 1.33 0.00 0.00 1.33
randomnet4_29 1 0.00 0.0 1 1.00 0.00 0.00 1.00
randomnet4_3 3 3.00 0.5 6 1.75 1.67 0.49 3.42
randomnet4_30 0 2.00 1.0 2 0.00 1.50 1.00 1.50
randomnet4_31 1 3.00 0.75 4 0.33 2.33 0.88 2.67
randomnet4_32 1 3.00 0.75 4 0.50 0.92 0.65 1.42
randomnet4_33 6 2.00 0.25 8 2.92 0.83 0.22 3.75
randomnet4_34 2 5.00 0.7142857142857143 7 0.58 2.17 0.79 2.75
randomnet4_35 1 2.00 0.6666666666666666 3 0.33 0.75 0.69 1.08
randomnet4_36 2 0.00 0.0 2 1.33 0.00 0.00 1.33
randomnet4_37 0 1.00 1.0 1 0.00 0.50 0.50 0.50
randomnet4_38 3 2.00 0.4 5 1.83 0.58 0.24 2.42
randomnet4_39 1 2.00 0.6666666666666666 3 0.25 1.33 0.84 1.58
randomnet4_4 3 1.00 0.25 4 2.25 0.33 0.13 2.58
randomnet4_40 1 3.00 0.75 4 0.50 1.83 0.79 2.33
randomnet4_41 2 0.00 0.0 2 0.83 0.00 0.00 0.83
randomnet4_42 3 1.00 0.25 4 1.33 0.33 0.20 1.67
randomnet4_43 3 2.00 0.4 5 1.33 0.58 0.30 1.92
randomnet4_44 1 1.00 0.5 2 0.50 1.00 0.67 1.50
randomnet4_45 2 2.00 0.5 4 2.00 1.50 0.43 3.50
randomnet4_46 1 4.00 0.8 5 0.50 1.67 0.77 2.17
randomnet4_47 2 1.00 0.3333333333333333 3 1.50 0.50 0.25 2.00
randomnet4_48 1 1.00 0.5 2 1.00 1.00 0.50 2.00
randomnet4_49 1 2.00 0.6666666666666666 3 1.00 1.50 0.60 2.50
randomnet4_5 3 1.00 0.25 4 2.00 0.25 0.11 2.25
randomnet4_50 4 0.00 0.0 4 1.92 0.00 0.00 1.92
randomnet4_51 3 1.00 0.25 4 2.33 0.50 0.18 2.83
randomnet4_52 1 0.00 0.0 1 1.00 0.00 0.00 1.00
randomnet4_53 3 1.00 0.25 4 3.00 0.50 0.14 3.50
randomnet4_54 2 1.00 0.3333333333333333 3 2.00 1.00 0.33 3.00
randomnet4_55 1 1.00 0.5 2 0.50 0.50 0.50 1.00
randomnet4_56 4 3.00 0.42857142857142855 7 2.25 1.83 0.45 4.08
randomnet4_57 2 0.00 0.0 2 2.00 0.00 0.00 2.00
randomnet4_58 1 1.00 0.5 2 1.00 0.33 0.25 1.33
randomnet4_59 0 1.00 1.0 1 0.00 0.50 0.50 0.50
randomnet4_6 1 2.00 0.6666666666666666 3 1.00 1.50 0.60 2.50
randomnet4_60 1 1.00 0.5 2 1.00 1.00 0.50 2.00
randomnet4_61 1 2.00 0.6666666666666666 3 0.33 1.50 0.82 1.83
randomnet4_62 0 2.00 1.0 2 0.00 1.00 1.00 1.00
randomnet4_63 3 5.00 0.625 8 1.08 2.17 0.67 3.25
randomnet4_64 1 0.00 0.0 1 1.00 0.00 0.00 1.00
randomnet4_65 2 2.00 0.5 4 1.25 1.50 0.55 2.75
randomnet4_66 2 2.00 0.5 4 2.00 1.50 0.43 3.50
randomnet4_67 2 1.00 0.3333333333333333 3 1.50 0.33 0.18 1.83
randomnet4_68 0 1.00 1.0 1 0.00 0.25 0.25 0.25
randomnet4_69 0 1.00 1.0 1 0.00 0.50 0.50 0.50
randomnet4_7 2 1.00 0.3333333333333333 3 1.33 0.50 0.27 1.83
randomnet4_70 1 1.00 0.5 2 0.50 0.50 0.50 1.00
randomnet4_71 0 0.00 0.0 0 0.00 0.00 0.00 0.00
randomnet4_72 3 1.00 0.25 4 1.83 0.50 0.21 2.33
randomnet4_73 0 5.00 1.0 5 0.00 2.08 1.00 2.08
randomnet4_74 1 3.00 0.75 4 0.50 1.83 0.79 2.33
randomnet4_75 3 1.00 0.25 4 2.50 0.25 0.09 2.75
randomnet4_76 1 1.00 0.5 2 1.00 0.50 0.33 1.50
randomnet4_77 3 3.00 0.5 6 1.17 2.00 0.63 3.17
randomnet4_78 0 3.00 1.0 3 0.00 2.50 1.00 2.50
randomnet4_79 1 4.00 0.8 5 0.33 2.50 0.88 2.83
randomnet4_8 2 0.00 0.0 2 0.75 0.00 0.00 0.75
randomnet4_80 4 1.00 0.2 5 1.58 1.00 0.39 2.58
randomnet4_81 0 3.00 1.0 3 0.00 2.50 1.00 2.50
randomnet4_82 0 1.00 1.0 1 0.00 1.00 1.00 1.00
randomnet4_83 0 1.00 1.0 1 0.00 0.33 0.33 0.33
randomnet4_84 0 3.00 1.0 3 0.00 1.75 1.00 1.75
randomnet4_85 0 3.00 1.0 3 0.00 1.83 1.00 1.83
randomnet4_86 1 2.00 0.6666666666666666 3 1.00 0.67 0.40 1.67
randomnet4_87 2 2.00 0.5 4 1.00 0.58 0.37 1.58
randomnet4_88 3 1.00 0.25 4 2.00 1.00 0.33 3.00
randomnet4_89 2 1.00 0.3333333333333333 3 1.50 0.33 0.18 1.83
randomnet4_9 3 2.00 0.4 5 2.50 1.33 0.35 3.83
randomnet4_90 3 0.00 0.0 3 2.50 0.00 0.00 2.50
randomnet4_91 1 1.00 0.5 2 1.00 0.50 0.33 1.50
randomnet4_92 4 1.00 0.2 5 1.42 0.50 0.26 1.92
randomnet4_93 2 2.00 0.5 4 1.33 2.00 0.60 3.33
randomnet4_94 4 1.00 0.2 5 1.42 0.33 0.19 1.75
randomnet4_95 2 2.00 0.5 4 0.83 2.00 0.71 2.83
randomnet4_96 2 1.00 0.3333333333333333 3 0.83 1.00 0.55 1.83
randomnet4_97 0 1.00 1.0 1 0.00 1.00 1.00 1.00
randomnet4_98 3 0.00 0.0 3 1.33 0.00 0.00 1.33
randomnet4_99 2 1.00 0.3333333333333333 3 1.33 0.50 0.27 1.83
randomnet5_1 1 1.00 0.5 2 0.50 0.25 0.25 0.75
randomnet5_10 3 3.00 0.5 6 1.03 1.75 0.63 2.78
randomnet5_100 1 2.00 0.6666666666666666 3 1.00 0.83 0.45 1.83
randomnet5_11 1 6.00 0.8571428571428571 7 0.50 2.92 0.85 3.42
randomnet5_12 5 3.00 0.375 8 2.33 0.95 0.29 3.28
randomnet5_13 4 3.00 0.42857142857142855 7 1.67 1.83 0.52 3.50
randomnet5_14 6 6.00 0.5 12 1.92 2.62 0.58 4.53
